"type","request_number","date","year","month","block","description","lon","lat"
"Agency Assists","11-03313594","Jul 06, 2011",2011,7,"100 N DEARBORN ST, Chicago, Illinois","opossum near city hall per 911",-87.6294344,41.8832145
"Agency Assists","11-03425124","Jul 21, 2011",2011,7,"400 E 66TH ST, Chicago, Illinois","cpd on scene w/opossum inside apartment",-87.6151671,41.7749829
"Agency Assists","12-00133711","Jan 31, 2012",2012,1,"4000 W 26TH ST, Chicago, Illinois","cpd standing by w/opossum on sidewalk - cpd",-87.7247935,41.8445257
"Agency Assists","12-00852440","May 02, 2012",2012,5,"5300 N WESTERN AVE, Chicago, Illinois","INJ OPOSSUM INSIDE OF STREETS & SAN",-87.6895753,41.9779271
"Agency Assists","12-01953893","Dec 02, 2012",2012,12,"2300 W 21ST ST, Chicago, Illinois","ASSIST CPD BT. 1223 W/INJ OPOSSUM IN THE FRONT YARD",-87.6834031,41.8541562
"Agency Assists","13-00223054","Feb 27, 2013",2013,2,"8300 S MICHIGAN AVE, Chicago, Illinois","resident shot opossum in backyard...still alive - cpd",-87.6211824,41.7436982
"Animal Abandoned","12-01468227","Aug 16, 2012",2012,8,"10100 S EMERALD AVE, Chicago, Illinois","Other - Yard - POSSUM and her family hahas taken over my backyard 0f #of possum is 5",-87.641984,41.7104657
"Animal Abandoned","12-01517355","Aug 27, 2012",2012,8,"3100 W 83RD ST, Chicago, Illinois","Dead possum in roadway - Other - Other",-87.6997529,41.7425376
"Animal Abandoned","12-01631760","Sep 18, 2012",2012,9,"1800 W 22ND PL, Chicago, Illinois","pl - Other - Other - opossums seen in alley",-87.6709041,41.8514754
"Animal Abandoned","13-00145678","Feb 06, 2013",2013,2,"100 W 109TH PL, Chicago, Illinois","Other - 1st Floor-per cllr, there is a family of opossums breeding inside this vacant property. cllr keeps seeing too many lately.",-87.625784,41.695544
"Animal Abandoned","13-00442894","Apr 17, 2013",2013,4,"4800 W THOMAS ST, Chicago, Illinois","dead possum in alley - Other - Other",-87.7459302,41.9005009
"Animal Abandoned","13-01602439","Oct 25, 2013",2013,10,"4000 S INDIANA AVE, Chicago, Illinois","abandoned house racoons opossum going in and out of abandoned house",-87.6215403,41.8217417
"Animal Abandoned","13-01701689","Nov 13, 2013",2013,11,"8000 S SAGINAW AVE, Chicago, Illinois","Other - 1st Floor. RODENTS, RACCOONS, OPOSSUMS LIVING IN BUIDING",-87.5604233,41.7498597
"Animal Business","11-03973293","Oct 18, 2011",2011,10,"800 N WESTERN AVE, Chicago, Illinois","village west vet. - Animal Hospital - opossum in box",-87.6869099,41.8957377
"Animal Business","12-01038094","Jun 06, 2012",2012,6,"9600 S FOREST AVE, Chicago, Illinois","Dead animal--elderly citizens requesting assistance with removal of a dead possum stuck between the back porch structure and the building foundation; they have made several attempts to obtain assistance but no one has shown up or called; they are physically incapable of getting the animal out themselves. - CoC Dead Animal dept. - Other - City department will not assist occupants who are elderly with deceased animal",-87.616806,41.7199029
"Animal - Inhumane Treatment","12-00762790","Apr 14, 2012",2012,4,"4300 N SACRAMENTO AVE, Chicago, Illinois","burying dead opossum in the backyard and also breeding them - Non Pet Animals Owned (goats, chickens, pigs, etc) - burying dead opossum in the backyard and also breeding them - opossum",-87.7033018,41.9593976
"Animal - Inhumane Treatment","12-00907455","May 11, 2012",2012,5,"4900 W IOWA ST, Chicago, Illinois","911 dispatch xfrd back to 311 no indication of dispatch - Animal is being beaten - sidewalk in front of prop. svl hours now - per cllr at - kids are kicking/ throwing things at / trying to set opossum on fire - Other",-87.7484735,41.8969782
"Animal - Inhumane Treatment","13-01749994","Nov 21, 2013",2013,11,"6100 N HOYNE AVE, Chicago, Illinois","ENCLOSED Back PORCH 3RD FL - KITTENS - TAIL - Living outside for long periods - RACCOON AND OPOSSUM ARE AROUND THE KITTEN,",-87.6825558,41.9919715
"Animal In Trap","11-00024435","Jan 05, 2011",2011,1,"10600 S MAY ST, Chicago, Illinois","Squirrel - Opossum - Inside the House - Caller is not sure what the animal is but its caught in a box in her home and would like it removed.",-87.6507709,41.7013502
"Animal In Trap","11-00243558","Feb 13, 2011",2011,2,"5500 N NATCHEZ AVE, Chicago, Illinois","Opossum - Inside the House. CALLER'S LANDLORD HAS BEEN INFORMED OF 
POSSIBLE  POSSUM COMING IN AND OUT OF UPSTAIRS AREA AT NIGHT TIME ONLY.
LANDLORD DOES NOT CARE.",-87.7892257,41.9811834
"Animal In Trap","11-00248219","Feb 14, 2011",2011,2,"4500 N MARMORA AVE, Chicago, Illinois","Opossum - Other, inside a white bucket inside the garbage cart",-87.7746355,41.9622473
"Animal In Trap","11-00268452","Feb 16, 2011",2011,2,"3300 W 55TH ST, Chicago, Illinois","Opossum - Backyard - STREET AND SANA  14WARD YARD",-87.7062156,41.7936614
"Animal In Trap","11-00327757","Feb 25, 2011",2011,2,"8600 S CARPENTER ST, Chicago, Illinois","under blanket  in driveway..Opossum - Backyard",-87.6500396,41.7376522
"Animal In Trap","11-00328345","Feb 26, 2011",2011,2,"8600 S CARPENTER ST, Chicago, Illinois","PLS CONTACT ASAP AND LET HER KNOW WHAT TIME AC WILL PICKUP TRAP CALLER NEEDS TO LEAVE HOUSE BUT NOT BEFORE AC PICKS UP TRAP-  Opossum - Backyard - UNDER BLANKET IN DRIVEWAY",-87.6500396,41.7376522
"Animal In Trap","11-00339022","Feb 28, 2011",2011,2,"8600 S CARPENTER ST, Chicago, Illinois","Cat - Other put trap  in attached garage to catch a oppossum has caught a cat that is feral",-87.6500396,41.7376522
"Animal In Trap","11-00367125","Mar 04, 2011",2011,3,"6200 S DAMEN AVE, Chicago, Illinois","Opossum - Backyard",-87.6743,41.781017
"Animal In Trap","11-00368564","Mar 04, 2011",2011,3,"8600 S CARPENTER ST, Chicago, Illinois","Opossum-cllr has license for cage-plse call before coming",-87.6500396,41.7376522
"Animal In Trap","11-00370114","Mar 05, 2011",2011,3,"4500 S LAKE PARK AVE, Chicago, Illinois","Opossum - Backyard - y",-87.596374,41.813137
"Animal In Trap","11-00376798","Mar 08, 2011",2011,3,"5500 N WAYNE AVE, Chicago, Illinois","Opossum - Side of House. when facing the house, the opossum is on the right side of home.  there is a gang-way that leads to back yard.  Just before the back yard's gate,
the opossum is in trap; covered by brown towel.  resident will place oppossum sign ontop.",-87.6637122,41.9817526
"Animal In Trap","11-00470954","Mar 23, 2011",2011,3,"700 W 87TH ST, Chicago, Illinois","Opossum - Backyard",-87.6414058,41.7364652
"Animal In Trap","11-00857253","Apr 15, 2011",2011,4,"3700 N SPRINGFIELD AVE, Chicago, Illinois","Opossum-plse call  first, before coming",-87.7252847,41.9483897
"Animal In Trap","11-01105675","Apr 24, 2011",2011,4,"7200 S CALUMET AVE, Chicago, Illinois","Other - opossum - in back yard trapped in milk crate - Opossum - Backyard - back gate open",-87.6168354,41.7638314
"Animal In Trap","11-01121986","Apr 25, 2011",2011,4,"7200 S CALUMET AVE, Chicago, Illinois","Opossum - Backyard - caller trapped it under a milk crate",-87.6168354,41.7638314
"Animal In Trap","11-01811857","May 16, 2011",2011,5,"11300 S SAWYER AVE, Chicago, Illinois","Opossum - Porch((( caller adv re: non return priv cat trp)",-87.7022315,41.6878373
"Animal In Trap","11-02015306","May 22, 2011",2011,5,"500 W 127TH PL, Chicago, Illinois","Opossum - Backyard",-87.6341374,41.6623683
"Animal In Trap","11-02161612","May 26, 2011",2011,5,"3700 N TROY ST, Chicago, Illinois","Opossum - Backyard",-87.7069758,41.9485784
"Animal In Trap","11-02267791","May 29, 2011",2011,5,"1900 W CULLERTON ST, Chicago, Illinois","Opossum - Backyard - Y",-87.67362,41.8552779
"Animal In Trap","11-02616598","Jun 07, 2011",2011,6,"7800 S DOBSON AVE, Chicago, Illinois","Opossum - Other FRONT YARD UNDER PORCH",-87.5991585,41.7531611
"Animal In Trap","11-02707490","Jun 09, 2011",2011,6,"6400 S KENWOOD AVE, Chicago, Illinois","Opossum - Backyard - in caller's personal trap",-87.593464,41.7784819
"Animal In Trap","11-02799894","Jun 11, 2011",2011,6,"9400 S JUSTINE ST, Chicago, Illinois","Opossum - Backyard all this activity has an bad odor under caller's window. for 3 days caller does not understand why no one has come out yet.",-87.6617928,41.7229238
"Animal In Trap","11-02989116","Jun 16, 2011",2011,6,"4500 N KIMBALL AVE, Chicago, Illinois","Opossum - Backyard",-87.7131905,41.9629683
"Animal In Trap","11-03211656","Jun 21, 2011",2011,6,"2700 N MOODY AVE, Chicago, Illinois","Opossum - Backyard",-87.7797825,41.9293819
"Animal In Trap","11-03243806","Jun 24, 2011",2011,6,"4500 N AVERS AVE, Chicago, Illinois","Opossum - Porch",-87.724467,41.9629598
"Animal In Trap","11-03247140","Jun 26, 2011",2011,6,"6500 S KOMENSKY AVE, Chicago, Illinois","Opossum - Backyard  (INSIDE OF A BUCKET)",-87.7240919,41.7748488
"Animal In Trap","11-03282424","Jun 30, 2011",2011,6,"5200 S ARTESIAN AVE, Chicago, Illinois","Opossum - Inside the House in basement",-87.6856656,41.7992012
"Animal In Trap","11-03283785","Jul 01, 2011",2011,7,"5200 W HARRISON ST, Chicago, Illinois","Opossum - Other - inside business warehouse",-87.755078,41.87321
"Animal In Trap","11-03287250","Jul 01, 2011",2011,7,"3100 N OCTAVIA AVE, Chicago, Illinois","Opossum - ANIMAL STUCK INSIDE GARBAGE CART BEHIND THIS ADDRESS",-87.8093928,41.936427
"Animal In Trap","11-03311229","Jul 06, 2011",2011,7,"4400 S HOMAN AVE, Chicago, Illinois","Opossum - Backyard",-87.7093526,41.8134274
"Animal In Trap","11-03382084","Jul 15, 2011",2011,7,"5100 W BLOOMINGDALE AVE, Chicago, Illinois","Opossum -between gangway and Backyard",-87.7527641,41.9131906
"Animal In Trap","11-03384274","Jul 15, 2011",2011,7,"0 S LA SALLE ST, Chicago, Illinois","Opossum - Other-inside card board box on front city side walk monre street side of the bank.",-87.6327897,41.8797877
"Animal In Trap","11-03389434","Jul 16, 2011",2011,7,"7100 S CORNELL AVE, Chicago, Illinois","Opossum - Other - IN FRONT YARD IN BOX",-87.585111,41.765931
"Animal In Trap","11-03412458","Jul 20, 2011",2011,7,"2500 W 46TH PL, Chicago, Illinois","Opossum - Porch",-87.6871386,41.80949
"Animal In Trap","11-03439990","Jul 22, 2011",2011,7,"8000 S BLACKSTONE AVE, Chicago, Illinois","Opossum - Backyard - caller has his own trap and wants you to leave it upon arrival.. he has other opossum to catch",-87.5885654,41.7495193
"Animal In Trap","11-03492828","Jul 29, 2011",2011,7,"1600 W OLIVE AVE, Chicago, Illinois","PER CALLER  HAVE AC CALL FIRST-IF THEY TELL HER HOW TO DISPOSE OF SHE CAN DO IT HERSELF-Opossum - Backyard - CALLER HAS HIME TRAPPED IN A GARBAGE CART-",-87.6699075,41.9842928
"Animal In Trap","11-03508784","Aug 01, 2011",2011,8,"11100 S AVENUE G , Chicago, Illinois","Opossum - Porch - front porch - it climbed inside ate the parakeet and is now stuck in the cage - cage is hanging above front porch from the tree",-87.5316603,41.6936569
"Animal In Trap","11-03517419","Aug 02, 2011",2011,8,"3900 W 49TH ST, Chicago, Illinois","Opossum - Backyard",-87.7209931,41.8042517
"Animal In Trap","11-03544568","Aug 06, 2011",2011,8,"10600 S PRAIRIE AVE, Chicago, Illinois","Opossum - Other - in the alley 3 small ones in the cage",-87.6175002,41.7016393
"Animal In Trap","11-03545659","Aug 07, 2011",2011,8,"10600 S INDIANA AVE, Chicago, Illinois","Opossum - Backyard.SOMEONE LEFT TWO OPOSSUM'S IN CAGE BY GARBAGE CARTS.",-87.6187306,41.7013927
"Animal In Trap","11-03593098","Aug 15, 2011",2011,8,"3600 S LAKE PARK AVE, Chicago, Illinois","Raccoon - Opossum - Backyard//////////cancel request",-87.607603,41.829856
"Animal In Trap","11-03616648","Aug 18, 2011",2011,8,"1900 S MILLER ST, Chicago, Illinois","Opossum - Other--in alley in a box",-87.6524315,41.8565737
"Animal In Trap","11-03616979","Aug 18, 2011",2011,8,"2600 E 92ND ST, Chicago, Illinois","Opossum - Backyard",-87.5606357,41.7283507
"Animal In Trap","11-03664534","Aug 25, 2011",2011,8,"6900 S MORGAN ST, Chicago, Illinois","carpenter morgan alley  - Opossum - Backyard",-87.6493695,41.7687663
"Animal In Trap","11-03671033","Aug 26, 2011",2011,8,"7600 S LANGLEY AVE, Chicago, Illinois","OPUSSUM - IN SUITCASE IN REAR YARD - Opossum",-87.6080212,41.7565404
"Animal In Trap","11-03672040","Aug 26, 2011",2011,8,"9000 S EAST END AVE, Chicago, Illinois","Opossum INSIDE CALLER GARBAGE CART IN ALLEY",-87.5830464,41.7313302
"Animal In Trap","11-03695302","Aug 30, 2011",2011,8,"5800 S MICHIGAN AVE, Chicago, Illinois","Opossum - Side of House inside crate",-87.6227016,41.7890322
"Animal In Trap","11-03700802","Aug 31, 2011",2011,8,"6000 W MELROSE ST, Chicago, Illinois","Opossum - Other..the opossum is trapped in the garbage cart in the alley it is in the one closed to the gate",-87.7763909,41.9395515
"Animal In Trap","11-03711641","Sep 02, 2011",2011,9,"5000 N NORMANDY AVE, Chicago, Illinois","Opossum - Backyard",-87.7942203,41.9721455
"Animal In Trap","11-03718746","Sep 03, 2011",2011,9,"9900 S PROSPECT AVE, Chicago, Illinois","Opossum - Other babies in a box in the driveway",-87.6637,41.7137662
"Animal In Trap","11-03746701","Sep 08, 2011",2011,9,"4500 N CHRISTIANA AVE, Chicago, Illinois","Opossum - Backyard",-87.7121749,41.9631159
"Animal In Trap","11-03762181","Sep 10, 2011",2011,9,"4900 S CALUMET AVE, Chicago, Illinois","Opossum - Backyard - CALLER NOT SURE WHAT KIND OF ANIMAL IT IS",-87.618336,41.805256
"Animal In Trap","11-03793256","Sep 15, 2011",2011,9,"600 W CHICAGO AVE, Chicago, Illinois","Opossum - Other/inside Restaurant Business -[caller states that opossum went into restaurant-employee captured and placed into a bag -now restaurant is requesting for ACC to pickup]",-87.6433858,41.8975334
"Animal In Trap","11-03800795","Sep 16, 2011",2011,9,"0 E 99TH PL, Chicago, Illinois","Opossum - Inside the House

note:caller reports that there are large raccoons and opposums in the garage/garage is attatched to the house",-87.6222567,41.7135469
"Animal In Trap","11-03804222","Sep 18, 2011",2011,9,"3800 N CHRISTIANA AVE, Chicago, Illinois","Opossum - Porch front",-87.7118677,41.9503582
"Animal In Trap","11-03811387","Sep 19, 2011",2011,9,"3900 N NORDICA AVE, Chicago, Illinois","Opossum--  private trap - Opossum - Backyard",-87.8038237,41.9509207
"Animal In Trap","11-03841879","Sep 24, 2011",2011,9,"7000 N OLCOTT AVE, Chicago, Illinois","Opossum - Other - garage",-87.8140203,42.0080621
"Animal In Trap","11-03862369","Sep 28, 2011",2011,9,"900 W 18TH PL, Chicago, Illinois","Opossum - Backyard - DOG IN YARD PLS CONTACT BEFORE COMING OUT",-87.6482773,41.8574414
"Animal In Trap","11-03867002","Sep 28, 2011",2011,9,"2200 W ADAMS ST, Chicago, Illinois","Raccoon or Opossum - Other - Trap dumped in the curblane animal trying to lift top of cage - per cllr no one knows who placed it there",-87.6815617,41.8786664
"Animal In Trap","11-03883814","Oct 01, 2011",2011,10,"4700 N TROY ST, Chicago, Illinois","Opossum - Backyard",-87.707541,41.9667839
"Animal In Trap","11-03922333","Oct 08, 2011",2011,10,"4800 N AUSTIN AVE, Chicago, Illinois","Opossum - Other in front of funeral home right across from this address.",-87.7779583,41.9678778
"Animal In Trap","11-03947407","Oct 13, 2011",2011,10,"9000 S CORNELL AVE, Chicago, Illinois","the animal is dying on the street - Opossum - Other",-87.5842043,41.7313156
"Animal In Trap","11-03975445","Oct 18, 2011",2011,10,"1800 S MAY ST, Chicago, Illinois","Opossum - Inside the House IN THE BASEMENT...CALL WHEN ARRIVE AT ",-87.6548335,41.8579745
"Animal In Trap","11-03985277","Oct 20, 2011",2011,10,"6800 S HONORE ST, Chicago, Illinois","Opossum INSIDE GARBAGE CART IN ALLEY",-87.670377,41.770164
"Animal In Trap","11-03990474","Oct 21, 2011",2011,10,"500 E 90TH ST, Chicago, Illinois","Opossum - Inside the House",-87.6117918,41.7313073
"Animal In Trap","11-03991762","Oct 21, 2011",2011,10,"500 E 90TH ST, Chicago, Illinois","Opossum - Other--basement",-87.6117918,41.7313073
"Animal In Trap","11-04098820","Nov 10, 2011",2011,11,"4300 S COTTAGE GROVE AVE, Chicago, Illinois","Opossum - Other  - inside the metal garbage cart  on sidewalk",-87.607072,41.8166878
"Animal In Trap","11-04170519","Nov 26, 2011",2011,11,"1500 E 74TH ST, Chicago, Illinois","Opossum - Backyard - OPOSSUM IS TRAPPED INSIDE A GARBAGE CAN",-87.5884063,41.7605749
"Animal In Trap","11-04181899","Nov 29, 2011",2011,11,"6000 N CHRISTIANA AVE, Chicago, Illinois","Opossum - Other- CALLER STATES THE ANIMAL IS TRAPPED INSIDE THE GARBAGE CART IN THE ALLEY",-87.7127682,41.9903582
"Animal In Trap","11-04205806","Dec 04, 2011",2011,12,"4200 N RICHMOND ST, Chicago, Illinois","Opossum - Backyard",-87.7025747,41.958271
"Animal In Trap","11-04298494","Dec 26, 2011",2011,12,"4900 S LAMON AVE, Chicago, Illinois","Opossum - Porch",-87.7457809,41.803821
"Animal In Trap","11-04315632","Dec 30, 2011",2011,12,"400 W TREMONT ST, Chicago, Illinois","Opossum - Inside the House",-87.635648,41.792423
"Animal In Trap","11-04316631","Dec 30, 2011",2011,12,"10500 S AVENUE M , Chicago, Illinois","Opossum - Inside the House",-87.5379435,41.7044405
"Animal In Trap","12-00025017","Jan 06, 2012",2012,1,"4300 S LANGLEY AVE, Chicago, Illinois","Opossum - Other--back steps in rear",-87.6091709,41.816756
"Animal In Trap","12-00054116","Jan 12, 2012",2012,1,"2700 S HILLOCK AVE, Chicago, Illinois","Opossum - Backyard - caller was trying to catch his cat",-87.6578722,41.8448247
"Animal In Trap","12-00147538","Feb 02, 2012",2012,2,"1700 W 19TH ST, Chicago, Illinois","Opossum - caller states that the contractors have caught 2 opossums in a cage and they have put the cage inside a private dumpster in front of the location",-87.66875,41.856181
"Animal In Trap","12-00229397","Feb 18, 2012",2012,2,"2200 E 70TH PL, Chicago, Illinois","Opossum - Backyard",-87.5712641,41.7672555
"Animal In Trap","12-00586936","Mar 09, 2012",2012,3,"7800 S EAST END AVE, Chicago, Illinois","Opossum - Backyard",-87.5833379,41.7533335
"Animal In Trap","12-00698531","Mar 30, 2012",2012,3,"3300 W DOUGLAS BLVD, Chicago, Illinois","Opossum - Inside the House",-87.7081594,41.8632616
"Animal In Trap","12-00698605","Mar 30, 2012",2012,3,"3300 W DOUGLAS BLVD, Chicago, Illinois","Opossum - Inside the House",-87.7081594,41.8632616
"Animal In Trap","12-00700296","Apr 01, 2012",2012,4,"7100 S MORGAN ST, Chicago, Illinois","THE TRAP IS IN THE BACK YARD BY THE STEPS AND HE WOULD LIKE ANOTHER TRAP TO TRY AND CATCH THE RACCOON - Opossum - Backyard     THEY WILL TRY TO HAVE SOMEONE THERE",-87.64961,41.7649649
"Animal In Trap","12-00766978","Apr 16, 2012",2012,4,"5200 S WENTWORTH AVE, Chicago, Illinois","Opossum - Other - rear of the building of police motor maintenance garage",-87.6310139,41.7998832
"Animal In Trap","12-00789350","Apr 19, 2012",2012,4,"6700 S BENNETT AVE, Chicago, Illinois","Opossum - Backyard",-87.5792445,41.7732766
"Animal In Trap","12-00799388","Apr 21, 2012",2012,4,"6300 S LOCKWOOD AVE, Chicago, Illinois","Opossum - Other - IN THE FRONT YARD OF THE ADDRESS",-87.7544141,41.777198
"Animal In Trap","12-00833231","Apr 29, 2012",2012,4,"4500 W ALTGELD ST, Chicago, Illinois","Opossum - Backyard",-87.7392494,41.9266277
"Animal In Trap","12-00864789","May 04, 2012",2012,5,"3800 N SACRAMENTO AVE, Chicago, Illinois","Opossum - Other",-87.7033478,41.9504325
"Animal In Trap","12-00968102","May 23, 2012",2012,5,"4900 W MONROE ST, Chicago, Illinois","Opossum - Other - IN THE FRONT YARD IN A PLANTER",-87.7474609,41.879683
"Animal In Trap","12-00977369","May 25, 2012",2012,5,"11200 S HALSTED ST, Chicago, Illinois","Opossum - Backyard",-87.6428128,41.6903144
"Animal In Trap","12-00990595","May 29, 2012",2012,5,"5700 S NASHVILLE AVE, Chicago, Illinois","Opossum - Backyard - caller was able to trap the animal inside a bucket",-87.7868531,41.7884517
"Animal In Trap","12-01016086","Jun 02, 2012",2012,6,"5400 W HADDON AVE, Chicago, Illinois","Opossum - Other - in trash cart",-87.7610728,41.9015007
"Animal In Trap","12-01028775","Jun 05, 2012",2012,6,"11200 S ST LAWRENCE AVE, Chicago, Illinois","Opossum - Backyard-INSIDE A CLOSED OFF BUCKET",-87.6083628,41.6909711
"Animal In Trap","12-01029495","Jun 05, 2012",2012,6,"8000 S BENNETT AVE, Chicago, Illinois","trapped in city garbage cart .. cart in callers yard - Opossum - Backyard",-87.5786848,41.749623
"Animal In Trap","12-01195520","Jul 03, 2012",2012,7,"6100 W 63RD PL, Chicago, Illinois","Opossum - Backyard",-87.7741233,41.7771466
"Animal In Trap","12-01252733","Jul 13, 2012",2012,7,"8000 S COTTAGE GROVE AVE, Chicago, Illinois","Opossum - Porch is inbetween the door of the buisness, steel gate and door",-87.605387,41.7493477
"Animal In Trap","12-01258600","Jul 14, 2012",2012,7,"5700 S MCVICKER AVE, Chicago, Illinois","Opossum - Backyard",-87.7734566,41.7886864
"Animal In Trap","12-01262297","Jul 16, 2012",2012,7,"9700 S INDIANA AVE, Chicago, Illinois","Opossum - Side of House",-87.6192357,41.7180479
"Animal In Trap","12-01283463","Jul 18, 2012",2012,7,"10900 S HARDING AVE, Chicago, Illinois","Opossum - Other - in garbage can that is in homeowners garage.",-87.7195225,41.6947069
"Animal In Trap","12-01283854","Jul 18, 2012",2012,7,"6100 S LANGLEY AVE, Chicago, Illinois","Opossum - Backyard",-87.608802,41.783807
"Animal In Trap","12-01301167","Jul 20, 2012",2012,7,"500 E 104TH PL, Chicago, Illinois","Opossum - Backyard..CALLER STATES THE OPOSSUM IS TRAPPED IN THE GARABAGE CART",-87.6100144,41.7046419
"Animal In Trap","12-01303741","Jul 21, 2012",2012,7,"3200 W ADDISON ST, Chicago, Illinois","Opossum - Other  inside store auto parts store",-87.7078063,41.9466265
"Animal In Trap","12-01305951","Jul 22, 2012",2012,7,"8900 S MORGAN ST, Chicago, Illinois","Opossum - Backyard",-87.6484578,41.7324021
"Animal In Trap","12-01311091","Jul 23, 2012",2012,7,"10800 S BUFFALO AVE, Chicago, Illinois","Opossum - Backyard",-87.5442405,41.6990129
"Animal In Trap","12-01334811","Jul 25, 2012",2012,7,"7700 S EGGLESTON AVE, Chicago, Illinois","Opossum - Side of House",-87.6359317,41.7542699
"Animal In Trap","12-01354661","Jul 28, 2012",2012,7,"1300 E 71ST PL, Chicago, Illinois","Opossum - Backyard...please call before coming at ",-87.5932059,41.7653564
"Animal In Trap","12-01356095","Jul 28, 2012",2012,7,"1300 E 71ST PL, Chicago, Illinois","Opossum - Backyard",-87.5932059,41.7653564
"Animal In Trap","12-01357365","Jul 29, 2012",2012,7,"1300 E 71ST PL, Chicago, Illinois","Opossum - Backyard",-87.5932059,41.7653564
"Animal In Trap","12-01367408","Jul 31, 2012",2012,7,"11200 S ST LAWRENCE AVE, Chicago, Illinois","Opossum - Backyard",-87.6083628,41.6909711
"Animal In Trap","12-01373692","Aug 01, 2012",2012,8,"4800 S LEAMINGTON AVE, Chicago, Illinois","Opossum - Backyard",-87.7516721,41.8056629
"Animal In Trap","12-01394327","Aug 04, 2012",2012,8,"11500 S PRAIRIE AVE, Chicago, Illinois","Opossum - Backyard",-87.6168009,41.6853789
"Animal In Trap","12-01425149","Aug 09, 2012",2012,8,"3400 W 85TH ST, Chicago, Illinois","Opossum - Backyard on Patio",-87.7071587,41.7389968
"Animal In Trap","12-01437845","Aug 11, 2012",2012,8,"8200 S TALMAN AVE, Chicago, Illinois","Opossum - Backyard",-87.6891025,41.7443888
"Animal In Trap","12-01479284","Aug 20, 2012",2012,8,"6400 S EVANS AVE, Chicago, Illinois","Opossum - Other vacant lot at ",-87.607493,41.778413
"Animal In Trap","12-01552656","Sep 01, 2012",2012,9,"7600 W FOREST PRESERVE AVE, Chicago, Illinois","2 opossums stuck in cart -- no lid on cart . they cannot get out - Opossum - Opossum - Other",-87.8172267,41.949433
"Animal In Trap","12-01553039","Sep 01, 2012",2012,9,"3700 W 60TH PL, Chicago, Illinois","Opossum - Other IN GARAGE IN A TRAP",-87.715693,41.783582
"Animal In Trap","12-01563146","Sep 04, 2012",2012,9,"5700 S RICHMOND ST, Chicago, Illinois","Opossum - Backyard TRAP IN A RAT TRAP  IN SOME BUSHES.",-87.6976502,41.7898209
"Animal In Trap","12-01563485","Sep 04, 2012",2012,9,"5700 S RICHMOND ST, Chicago, Illinois","this should be a duplicate 12-01563146    he set rat traps and caught a opossum  needs ACC to pick up trapped animal   in back yard  wife gets home arounf 1pm   husband around 6pm - Opossum - Backyard  why does this not show up as a duplicate",-87.6976502,41.7898209
"Animal In Trap","12-01608262","Sep 13, 2012",2012,9,"5900 N ODELL AVE, Chicago, Illinois","Opossum - Backyard- CALLER STATES HE SAW 2 BABY OPOSSUM ALIVE INSIDE A DUMPSTER",-87.809664,41.987629
"Animal In Trap","12-01611800","Sep 13, 2012",2012,9,"11800 S SANGAMON ST, Chicago, Illinois","Opossum - Other - front yard - there are 3 opossums in a trash can in  the front yard - the caller has placed a crate over the lid of the can",-87.6459381,41.6794368
"Animal In Trap","12-01630490","Sep 18, 2012",2012,9,"4900 N NATCHEZ AVE, Chicago, Illinois","Opossum - Side of House ( IN FRONT OF GARAGE); BABY POSSUM.
REQUESTING ACC TO COME OUT ASAP!",-87.7894947,41.9703518
"Animal In Trap","12-01640412","Sep 19, 2012",2012,9,"4200 W 82ND PL, Chicago, Illinois","Has a possum in the yard, but it only comes at night. - Opossum - Backyard",-87.7267852,41.7430004
"Animal In Trap","12-01649931","Sep 20, 2012",2012,9,"4800 S LECLAIRE AVE, Chicago, Illinois","Opossum - Backyard concrete port in backyard",-87.750701,41.8055501
"Animal In Trap","12-01650033","Sep 21, 2012",2012,9,"4800 S LECLAIRE AVE, Chicago, Illinois","cancel  opossum no longer in trap .. ref#12-01649931 cancel please",-87.750701,41.8055501
"Animal In Trap","12-01672124","Sep 26, 2012",2012,9,"800 E 49TH ST, Chicago, Illinois","Opossum - Other - the animal is confined in the small trash can in the alley behind the building",-87.6062756,41.8059428
"Animal In Trap","12-01683851","Sep 28, 2012",2012,9,"11100 S STATE LINE RD, Chicago, Illinois","Opossum - Backyard, animal has been trapped",-87.5248832,41.6934644
"Animal In Trap","12-01702392","Oct 02, 2012",2012,10,"10900 S FAIRFIELD AVE, Chicago, Illinois","Opossum - Other  southside of front deck",-87.6902192,41.6952226
"Animal In Trap","12-01708952","Oct 04, 2012",2012,10,"1300 N MAYFIELD AVE, Chicago, Illinois","Opossum - Backyard, TRAPPED INSIDE OF  CAN, GATE LOCKED,RING DOORBELL AT , NEIGHBOR  HAS KEY",-87.7733162,41.9039664
"Animal In Trap","12-01724685","Oct 09, 2012",2012,10,"200 E 89TH PL, Chicago, Illinois","Opossum - Side of House",-87.618985,41.7320587
"Animal In Trap","12-01765367","Oct 17, 2012",2012,10,"3500 E 106TH ST, Chicago, Illinois","Opossum - Inside the House- the animal is trapped inside the house in the basement they are not sure how it got in",-87.5384554,41.702886
"Animal In Trap","12-01765461","Oct 17, 2012",2012,10,"10500 S HAMLIN AVE, Chicago, Illinois","Opossum - Backyard - OPOSSUM IS INSIDE THE GARBAGE CAN",-87.7162033,41.7021197
