,,,,,,
,Report Title,,,,,
,,,,,,
Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Agency Assists,11-03313594,"Jul 06, 2011",2011,7,100 N DEARBORN ST,opossum near city hall per 911
Agency Assists,11-03425124,"Jul 21, 2011",2011,7,400 E 66TH ST,cpd on scene w/opossum inside apartment
Agency Assists,12-00133711,"Jan 31, 2012",2012,1,4000 W 26TH ST,cpd standing by w/opossum on sidewalk - cpd
Agency Assists,12-00852440,"May 02, 2012",2012,5,5300 N WESTERN AVE,INJ OPOSSUM INSIDE OF STREETS & SAN
Agency Assists,12-01953893,"Dec 02, 2012",2012,12,2300 W 21ST ST,ASSIST CPD BT. 1223 W/INJ OPOSSUM IN THE FRONT YARD
Agency Assists,13-00223054,"Feb 27, 2013",2013,2,8300 S MICHIGAN AVE,resident shot opossum in backyard...still alive - cpd
Animal Abandoned,12-01468227,"Aug 16, 2012",2012,8,10100 S EMERALD AVE,Other - Yard - POSSUM and her family hahas taken over my backyard 0f #of possum is 5
Animal Abandoned,12-01517355,"Aug 27, 2012",2012,8,3100 W 83RD ST,Dead possum in roadway - Other - Other
Animal Abandoned,12-01631760,"Sep 18, 2012",2012,9,1800 W 22ND PL,pl - Other - Other - opossums seen in alley
Animal Abandoned,12-01897326,"Nov 15, 2012",2012,11,11500 S LA SALLE ST,Other**racoon or opossum inside room in vacant home**
Animal Abandoned,13-00145678,"Feb 06, 2013",2013,2,100 W 109TH PL,"Other - 1st Floor-per cllr, there is a family of opossums breeding inside this vacant property. cllr keeps seeing too many lately."
Animal Abandoned,13-00442894,"Apr 17, 2013",2013,4,4800 W THOMAS ST,dead possum in alley - Other - Other
Animal Abandoned,13-01602439,"Oct 25, 2013",2013,10,4000 S INDIANA AVE,abandoned house racoons opossum going in and out of abandoned house
Animal Abandoned,13-01701689,"Nov 13, 2013",2013,11,8000 S SAGINAW AVE,"Other - 1st Floor. RODENTS, RACCOONS, OPOSSUMS LIVING IN BUIDING"
Animal Business,11-03973293,"Oct 18, 2011",2011,10,800 N WESTERN AVE,village west vet. - Animal Hospital - opossum in box
Animal Business,12-01038094,"Jun 06, 2012",2012,6,9600 S FOREST AVE,Dead animal--elderly citizens requesting assistance with removal of a dead possum stuck between the back porch structure and the building foundation; they have made several attempts to obtain assistance but no one has shown up or called; they are physically incapable of getting the animal out themselves. - CoC Dead Animal dept. - Other - City department will not assist occupants who are elderly with deceased animal
Animal - Inhumane Treatment,12-00762790,"Apr 14, 2012",2012,4,4300 N SACRAMENTO AVE,"burying dead opossum in the backyard and also breeding them - Non Pet Animals Owned (goats, chickens, pigs, etc) - burying dead opossum in the backyard and also breeding them - opossum"
Animal - Inhumane Treatment,12-00907455,"May 11, 2012",2012,5,4900 W IOWA ST,911 dispatch xfrd back to 311 no indication of dispatch - Animal is being beaten - sidewalk in front of prop. svl hours now - per cllr at - kids are kicking/ throwing things at / trying to set opossum on fire - Other
Animal - Inhumane Treatment,13-01749994,"Nov 21, 2013",2013,11,6100 N HOYNE AVE,"ENCLOSED Back PORCH 3RD FL - KITTENS - TAIL - Living outside for long periods - RACCOON AND OPOSSUM ARE AROUND THE KITTEN,"
Animal In Trap,11-00024435,"Jan 05, 2011",2011,1,10600 S MAY ST,Squirrel - Opossum - Inside the House - Caller is not sure what the animal is but its caught in a box in her home and would like it removed.
Animal In Trap,11-00243558,"Feb 13, 2011",2011,2,5500 N NATCHEZ AVE,"Opossum - Inside the House. CALLER'S LANDLORD HAS BEEN INFORMED OF 
POSSIBLE  POSSUM COMING IN AND OUT OF UPSTAIRS AREA AT NIGHT TIME ONLY.
LANDLORD DOES NOT CARE."
Animal In Trap,11-00248219,"Feb 14, 2011",2011,2,4500 N MARMORA AVE,"Opossum - Other, inside a white bucket inside the garbage cart"
Animal In Trap,11-00268452,"Feb 16, 2011",2011,2,3300 W 55TH ST,Opossum - Backyard - STREET AND SANA  14WARD YARD
Animal In Trap,11-00327757,"Feb 25, 2011",2011,2,8600 S CARPENTER ST,under blanket  in driveway..Opossum - Backyard
Animal In Trap,11-00328345,"Feb 26, 2011",2011,2,8600 S CARPENTER ST,PLS CONTACT ASAP AND LET HER KNOW WHAT TIME AC WILL PICKUP TRAP CALLER NEEDS TO LEAVE HOUSE BUT NOT BEFORE AC PICKS UP TRAP-  Opossum - Backyard - UNDER BLANKET IN DRIVEWAY
Animal In Trap,11-00339022,"Feb 28, 2011",2011,2,8600 S CARPENTER ST,Cat - Other put trap  in attached garage to catch a oppossum has caught a cat that is feral
Animal In Trap,11-00367125,"Mar 04, 2011",2011,3,6200 S DAMEN AVE,Opossum - Backyard
Animal In Trap,11-00368564,"Mar 04, 2011",2011,3,8600 S CARPENTER ST,Opossum-cllr has license for cage-plse call before coming
Animal In Trap,11-00370114,"Mar 05, 2011",2011,3,4500 S LAKE PARK AVE,Opossum - Backyard - y
Animal In Trap,11-00376798,"Mar 08, 2011",2011,3,5500 N WAYNE AVE,"Opossum - Side of House. when facing the house, the opossum is on the right side of home.  there is a gang-way that leads to back yard.  Just before the back yard's gate,
the opossum is in trap; covered by brown towel.  resident will place oppossum sign ontop."
Animal In Trap,11-00470954,"Mar 23, 2011",2011,3,700 W 87TH ST,Opossum - Backyard
Animal In Trap,11-00857253,"Apr 15, 2011",2011,4,3700 N SPRINGFIELD AVE,"Opossum-plse call  first, before coming"
Animal In Trap,11-01105675,"Apr 24, 2011",2011,4,7200 S CALUMET AVE,Other - opossum - in back yard trapped in milk crate - Opossum - Backyard - back gate open
Animal In Trap,11-01121986,"Apr 25, 2011",2011,4,7200 S CALUMET AVE,Opossum - Backyard - caller trapped it under a milk crate
Animal In Trap,11-01811857,"May 16, 2011",2011,5,11300 S SAWYER AVE,Opossum - Porch((( caller adv re: non return priv cat trp)
Animal In Trap,11-02015306,"May 22, 2011",2011,5,500 W 127TH PL,Opossum - Backyard
