Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Agency Assists,11-00354768,"Mar 02, 2011",2011,3,3600 N NB OUTER LAKE SHORE DR,RACCOON HAS BEEN THERE FOR 2 WKS. BEHIND CLOCK TOWER BLG. EAST OF CLOCK TOWERE ON LAKE SIDE OF TOWER ON WALKING PATH. - PARK DIST.
Agency Assists,11-00904771,"Apr 17, 2011",2011,4,5100 N SIMONDS DR,sick raccoon on parkway - alledge rabit raacoon on parkway - zone 6
Agency Assists,11-03535250,"Aug 04, 2011",2011,8,7000 N OLEANDER AVE,Per Ald office  ( 41th Ward ) - pick up doa raccoon - senior frightened
Agency Assists,11-03575015,"Aug 11, 2011",2011,8,3000 N KENNETH AVE,assist  cpd with 3 raccoons street
Agency Assists,11-03782960,"Sep 14, 2011",2011,9,3200 W 108TH PL,cpd on scene w/raccoon chasing kids area - cpd
Agency Assists,12-00969587,"May 23, 2012",2012,5,13000 S EXCHANGE AVE,REMOVE BABY RACCOON IN BSMNT GYM-PUBLIC SPORT EVENT TO BEGIN IN HALF HOUR
Agency Assists,12-01606595,"Sep 12, 2012",2012,9,5100 N PULASKI RD,raccoon in water pumping station - raccoon in city facility
Agency Assists,13-00547628,"May 08, 2013",2013,5,3900 E 112TH ST,"COOK COUNTY FOREST PRESERVE  HOURS ALL TIME - 6 A.M TO 2:30 P,M  RACCOON  IN THE ATTIC = TURN INTO GROVE GO TOWARDS BLDG "
Agency Assists,13-00813660,"Jun 24, 2013",2013,6,9600 S LONGWOOD DR,RACCOON IN FIELDHOUSE
Agency Assists,13-01347896,"Sep 13, 2013",2013,9,5700 W MADISON ST,***Baby raccoon injured in a box- in front of the 15th district
Agency Assists,13-01446343,"Sep 30, 2013",2013,9,8100 S ASHLAND AVE,raccoon inside of fire house
Agency Assists,13-01527618,"Oct 12, 2013",2013,10,10000 W OHARE ST,US AIRWAYS AT O'HARE AIRPORT CONCOURSE A TERMINAL 2 GROUND LEVEL RACCOON IS CAUGHT BTWN SECURITY DOORS 023-025 
Agency Assists,13-01654435,"Nov 04, 2013",2013,11,10700 S RHODES AVE,***bt 533 on scene w injured raccoon
Animal Abandoned,12-00723884,"Apr 05, 2012",2012,4,5800 N PULASKI RD,Other - 1st Floor- CALLER STATES 5 BABY RACCOONS WERE FOUND IN A VACANT WAREHOUSE- CALLER HAS THE ANIMALS INSIDE A BOX AT THE OFFICE
Animal Abandoned,12-00807679,"Apr 23, 2012",2012,4,5600 N KOSTNER AVE,many raccoons living in this grage no one lives there please send animal control out here - Other - Garage
Animal Abandoned,13-01701689,"Nov 13, 2013",2013,11,8000 S SAGINAW AVE,"Other - 1st Floor. RODENTS, RACCOONS, OPOSSUMS LIVING IN BUIDING"
Animal Bite,11-00418949,"Mar 14, 2011",2011,3,1000 E OHIO ST,"on duty chicago police was walking to guard area raccoon ran up and bite on rear left of calf leaving to punture marks - dna - dna - Human - Male - 57 years - two puncture marks on the rear of left leg calf - MAR 14, 2011 - 8:55 AM - 8:55 PM - 1000 e ohio st - Racoon - none - none - Unknown - DNA - Female - Black/Tan - Small - 12618 - dna - dna - none -  12618 - OB"
Animal Bite,12-00666841,"Mar 25, 2012",2012,3,2700 W PRINDIVILLE ST,"Human - Male - 40 - 1 PUNCTURE AND SCRATCHES WOUND TO LEFT LOWER LEG - MAR 25, 2012 - 12:30 AM - sidewalk - Cat - Unknown - Brown - Small - D Alcazar 11798 - D ALCAZAR 11798 - DN - Victim was drunk at the time of incident  and was not sure if a cat or raccoon bit him."
Animal - Inhumane Treatment,12-00800059,"Apr 22, 2012",2012,4,6300 S LOCKWOOD AVE,"Providing no food or water - TRAPPING RACCOONS, SQUIRRELS AND OPPOSSUM - Yard AND SIDE DRIVEWAY"
Animal - Inhumane Treatment,12-01044394,"Jun 07, 2012",2012,6,12200 S WALLACE ST,Other - caller states that there is squirrels and raccoons in cages in the front and backyard at this address - Yard
Animal - Inhumane Treatment,12-01096882,"Jun 18, 2012",2012,6,4300 W 25TH PL,"Other - CALLER STATES WOMAN IS HOUSING RACCOONS IN BASEMENT, FEEDING THEM, RACCOONS COME OUT AT NIGHT, CALLER STATES RACCOON KILLED HER CAT - Basement"
Animal - Inhumane Treatment,12-01116418,"Jun 20, 2012",2012,6,3600 N NEWCASTLE AVE,Other - OPUSSOMS & RACCOONS ARE BEING TRAP IN CAGES IN THE BACKYARD AND ROTTEN IN THE CAGES - Yard
Animal - Inhumane Treatment,12-01456219,"Aug 15, 2012",2012,8,11200 S AVENUE G ,RACCOON IN GARBAGE CAN - Raccoon - Other - RACOON IS STUCK IN THE GARBAGE CAN AND IT CAN'T GET OUT.  OWNER OF HOME IS WORRIED - Other
Animal - Inhumane Treatment,12-01973870,"Dec 07, 2012",2012,12,4000 N HERMITAGE AVE,Other - CALLER STATED THAT THE OWNER OF THE PROPERTY IS SETTING TRAPS TO CATCH RACCOONS THAT ARE HANGING AROUND HIS HOUSE AND THE NEIGHBORHOOD. ONCE THE ANIMALS ARE TRAPPED HE KEEPS THEM IN THE CAGE TILL THEY DIE. - Yard
Animal - Inhumane Treatment,13-00691016,"Jun 04, 2013",2013,6,3700 N FRANCISCO AVE,Other - caller states that there is a cage of 7 raccoons on the porch of this location.. - Yard
Animal - Inhumane Treatment,13-00926572,"Jul 12, 2013",2013,7,3800 N MONTICELLO AVE,Other - 2 raccoon trapped in cage - Yard
Animal - Inhumane Treatment,13-01749994,"Nov 21, 2013",2013,11,6100 N HOYNE AVE,"ENCLOSED Back PORCH 3RD FL - KITTENS - TAIL - Living outside for long periods - RACCOON AND OPOSSUM ARE AROUND THE KITTEN,"
Animal In Trap,11-00037950,"Jan 07, 2011",2011,1,1100 W 104TH ST,Raccoon - Inside the House
Animal In Trap,11-00118657,"Jan 25, 2011",2011,1,8500 S CONSTANCE AVE,Racoons living between the ceilings and her roof - Raccoon - Inside the House
Animal In Trap,11-00124083,"Jan 25, 2011",2011,1,3800 N CLAREMONT AVE,"Raccoon - Backyard on side of garage, enter on neighbors' property its on south side of garage. clearly visible 6 ft high on top of air conditioner"
Animal In Trap,11-00149715,"Jan 31, 2011",2011,1,7000 S LOOMIS BLVD,Raccoon - Backyard -IN ALLEY -AROUND SCHOOLS
Animal In Trap,11-00245468,"Feb 14, 2011",2011,2,6400 S WASHTENAW AVE,Raccoon - Inside the House - IN ATTIC - PLEASE COME AFTER 6:00 PM WHEN CALLER WILL BE HOME
Animal In Trap,11-00292515,"Feb 19, 2011",2011,2,2000 W 80TH ST,Raccoon - Other
Animal In Trap,11-00391488,"Mar 09, 2011",2011,3,3800 N PITTSBURGH AVE,Per caller he has raccoon under his back porch try to get into the house he is looking for the city to help him get rid of this animal - Raccoon - Backyard
Animal In Trap,11-00412564,"Mar 14, 2011",2011,3,4000 S ARTESIAN AVE,Raccoon
Animal In Trap,11-00444073,"Mar 18, 2011",2011,3,8500 S KEDZIE AVE,Raccoon - on top of the entrance to the building - Porch
Animal In Trap,11-00488228,"Mar 26, 2011",2011,3,2000 S JEFFERSON ST,"Raccoon - Other raccoon is confined on the back dock, trucking dock and is is under empty cardboard bin with pallets on top, corner of the dock , dock is on lumber street back of the building"
Animal In Trap,11-00515074,"Mar 29, 2011",2011,3,0 N WABASH AVE,Raccoon - Other - at els station wabash and madision in coustomer service booth
Animal In Trap,11-00517206,"Mar 29, 2011",2011,3,3100 W 84TH PL,Raccoon - TRAPPED INSIDE OF GARBAGE CART ON  Side of House
Animal In Trap,11-00628011,"Apr 05, 2011",2011,4,900 N DEARBORN ST,Raccoon - Inside the House
Animal In Trap,11-00694509,"Apr 08, 2011",2011,4,2600 S INDIANA AVE,Raccoon - Other--inside the garbage cart in the garage
Animal In Trap,11-01062790,"Apr 23, 2011",2011,4,3500 W LAWRENCE AVE,THE CALLER HAS TWO RACCOON IN A BOX AND THIS IS A STORE
Animal In Trap,11-01127558,"Apr 25, 2011",2011,4,1000 W MAXWELL ST,Raccoon - Other - pls cpme btwn 9-6pm mon-fri
Animal In Trap,11-01370277,"May 03, 2011",2011,5,4600 W DICKENS AVE,Raccoon - Other FRONT YARD
Animal In Trap,11-01372436,"May 03, 2011",2011,5,4600 W DICKENS AVE,original request entered under wrong address of 4612 w. dickens - Raccoon - Backyard / please call first before coming
Animal In Trap,11-01452842,"May 06, 2011",2011,5,3100 S GILES AVE,Raccoon - Backyard - Porch - on the back porch - rear gate unlocked - on the back porch 2nd floor
Animal In Trap,11-01498191,"May 07, 2011",2011,5,3000 N ROCKWELL ST,"A FAMILY OF RaccoonS - Other inside a box in the warehouse...need to call before coming at caller states he would like someone to call him, sTATES HIS NERVOUS BEING BY THE RACCOONS."
Animal In Trap,11-01622126,"May 11, 2011",2011,5,0 E BELLEVUE PL,Raccoon - Other / ON DECK BY ALLEY
Animal In Trap,11-01622975,"May 11, 2011",2011,5,0 E BELLEVUE PL,Raccoon - Backyard
Animal In Trap,11-01758781,"May 15, 2011",2011,5,6000 N MAPLEWOOD AVE,Raccoon - Backyard - has trapped a raccoon in the  garage - trap belongs to home owner - do not take trap needs to trap a cat
Animal In Trap,11-01829825,"May 17, 2011",2011,5,300 S KILBOURN AVE,Raccoon - Porch
Animal In Trap,11-01899580,"May 19, 2011",2011,5,6900 N OZARK AVE,"Raccoon - Backyard - personal trap, under the bird feeder... caller requesting you leave the trap and take the animal"
Animal In Trap,11-01957785,"May 20, 2011",2011,5,4700 N MAGNOLIA AVE,Raccoon - Backyard. CALLER HAS RACCOON IN HIS OWN TRAP WOULD LIKE ACC TO PICK IT UP
Animal In Trap,11-01977847,"May 21, 2011",2011,5,100 S HAMLIN BLVD,Raccoon - Backyard---LARGE IN DOG CAGE---CALL FIRST OR RING BELL
Animal In Trap,11-02066171,"May 23, 2011",2011,5,2200 W 110TH PL,Raccoon - Backyard - caller states that raccoon went into city black garbage cart - he has placed bricks ontop of black cart - need ACC to remove from cart
Animal In Trap,11-02125743,"May 25, 2011",2011,5,100 W RANDOLPH ST,Raccoon - Inside the House bldg is under construction
Animal In Trap,11-02192429,"May 27, 2011",2011,5,300 S KILBOURN AVE,Raccoon - Backyard
Animal In Trap,11-02232295,"May 28, 2011",2011,5,800 W 50TH ST,Raccoon - Other - LOCKED INSIDE GARBAGE CART ROCKS ON TOP OF IT-LOCATED IN REAR
Animal In Trap,11-02425315,"Jun 02, 2011",2011,6,8400 S WOLCOTT AVE,Raccoon - Inside the House
Animal In Trap,11-02456549,"Jun 03, 2011",2011,6,1400 S MUSEUM CAMPUS DR,SOLDIER FIELD - Raccoon - Other - NOW IN LOADING DOCK
Animal In Trap,11-02543779,"Jun 05, 2011",2011,6,10400 S WOOD ST,Raccoon - Other in the garage
Animal In Trap,11-02609161,"Jun 07, 2011",2011,6,1000 W COLUMBIA AVE,IN THE BACKYARD IN THE FLOWER POT WITH  BARQ GRILL RACK TRAP WITH SOME WEIGHTS ON TOP - Raccoon - Backyard
Animal In Trap,11-02662488,"Jun 08, 2011",2011,6,2000 N SAYRE AVE,Raccoon - Inside the House
Animal In Trap,11-02785266,"Jun 11, 2011",2011,6,6500 N MINNEHAHA AVE,Raccoon - Backyard - RACCOON HAS BEEN INSIDE GARBAGE CART 2 DAYS AND WAS HISSING AT CALLER.
Animal In Trap,11-02801926,"Jun 11, 2011",2011,6,12300 S PERRY AVE,Raccoon - Backyard - caller has 3 baby raccoons inside container - in backyard-  need ACC to remove - came from inside home
Animal In Trap,11-02959855,"Jun 15, 2011",2011,6,4300 W GLADYS AVE,Raccoon - Porch
Animal In Trap,11-03010434,"Jun 16, 2011",2011,6,300 W MONTROSE DR,Raccoon - ON MONTROSE HARBOR.. WILD RACOON IN TRAP ... GATE CODE 435.
Animal In Trap,11-03023262,"Jun 17, 2011",2011,6,8400 S ROCKWELL ST,Raccoon - Backyard (IN THE REAR  NEAR THE GARAGE) - THERE IS A RACCOON IN A TRAP BEHIND THE GARAGE ;  THE OWNERS ARE NOT AT HOME
Animal In Trap,11-03192956,"Jun 21, 2011",2011,6,2300 N STOCKTON DR,Raccoon - Other - at the lincoln park conservatory
Animal In Trap,11-03258999,"Jun 28, 2011",2011,6,2800 W 23RD PL,Raccoon - Other - `
Animal In Trap,11-03275817,"Jun 30, 2011",2011,6,2600 W 103RD PL,Raccoon - Other---the trap is in the front yard by the bushes
Animal In Trap,11-03290492,"Jul 01, 2011",2011,7,3000 N SHERIDAN RD,Raccoon - Other - inside basement -[caller has raccoon trapped in his own trap] - janitor on site - on Wellington St entrance
Animal In Trap,11-03291301,"Jul 02, 2011",2011,7,3000 N SHERIDAN RD,Raccoon - Inside the House
Animal In Trap,11-03306007,"Jul 05, 2011",2011,7,4500 W 65TH PL,Raccoon - Backyard
Animal In Trap,11-03344571,"Jul 11, 2011",2011,7,100 S MAYFIELD AVE,Raccoon - Backyard
Animal In Trap,11-03363187,"Jul 13, 2011",2011,7,2200 W 91ST ST,Raccoon - Backyard.UNSURE WHO SET THE TRAP OR WHO THE TRAP BELONG TO.ALSO ONE IS IN DISTRESS HOVERING AROUND THE CAGE.
Animal In Trap,11-03387995,"Jul 16, 2011",2011,7,9000 S EUCLID AVE,Raccoon - Backyard in a milk crate trapped with a rock on top
Animal In Trap,11-03394314,"Jul 18, 2011",2011,7,8200 S ANTHONY AVE,Raccoon - Backyard
Animal In Trap,11-03413306,"Jul 20, 2011",2011,7,1800 S KEDZIE AVE,Raccoon - Side of House- BABY RACCOON IS INSIDE CALLER'S GARBAGE CART- ANIMAL IS ALIVE
Animal In Trap,11-03434201,"Jul 22, 2011",2011,7,4400 N HERMITAGE AVE,Raccoon - Side of House
Animal In Trap,11-03434246,"Jul 22, 2011",2011,7,2600 E 81ST ST,Raccoon - Backyard
Animal In Trap,11-03445333,"Jul 23, 2011",2011,7,0 E 123RD ST,Raccoon - Other - raccoon trapped in garbage cart in alley - been there 2 days
Animal In Trap,11-03446784,"Jul 24, 2011",2011,7,3700 S PAULINA ST,Raccoon - Backyard
Animal In Trap,11-03447030,"Jul 24, 2011",2011,7,3700 S PAULINA ST,Backyard - Raccoon
Animal In Trap,11-03447070,"Jul 24, 2011",2011,7,3700 S PAULINA ST,Raccoon - Backyard
Animal In Trap,11-03447130,"Jul 24, 2011",2011,7,3700 S PAULINA ST,Raccoon - Backyard
Animal In Trap,11-03473911,"Jul 27, 2011",2011,7,2200 W 81ST ST,Raccoon - Other - RACCOONN IS STUCK IN GARBAGE CART IN ALLEY
Animal In Trap,11-03493371,"Jul 29, 2011",2011,7,1000 W LOYOLA AVE,"Other - Raccoon - raccoon trapped inside metal dumpster, in the alley behind address"
Animal In Trap,11-03495043,"Jul 30, 2011",2011,7,10200 S HOYNE AVE,Raccoon - Backyard
Animal In Trap,11-03527938,"Aug 04, 2011",2011,8,9100 S BRANDON AVE,Raccoon - Inside the House ENCLOSED BACK PORCH
Animal In Trap,11-03558877,"Aug 09, 2011",2011,8,4600 N FORESTVIEW AVE,Raccoon - Backyard- BABY RACCOON IS INSIDE CALLER'S GARBAGE CART- ALIVE
Animal In Trap,11-03569891,"Aug 10, 2011",2011,8,9200 S WESTERN AVE,Raccoon - SERVICE DEPT - PLS PICKUP ASAP
Animal In Trap,11-03570131,"Aug 10, 2011",2011,8,9200 S WESTERN AVE,Raccoon - Backyard
Animal In Trap,11-03576078,"Aug 11, 2011",2011,8,7400 S CAMPBELL AVE,Raccoon - INSIDE GARBAGE CART-CALLER PLACED BRICK OVER CART
Animal In Trap,11-03584737,"Aug 12, 2011",2011,8,5700 N MANTON AVE,Raccoon - Backyard
Animal In Trap,11-03593098,"Aug 15, 2011",2011,8,3600 S LAKE PARK AVE,Raccoon - Opossum - Backyard//////////cancel request
Animal In Trap,11-03612541,"Aug 17, 2011",2011,8,9200 S CLAREMONT AVE,Raccoon - Backyard
Animal In Trap,11-03630420,"Aug 19, 2011",2011,8,11000 S BELL AVE,"Raccoon - Other family of raccoons in a garbage can trapped, morgan park baptist church"
Animal In Trap,11-03671471,"Aug 26, 2011",2011,8,8900 S WESTERN AVE,Raccoon    placed in alley
Animal In Trap,11-03679390,"Aug 28, 2011",2011,8,8200 S VERNON AVE,Garbage Can - Raccoon - Raccoon - Backyard and babies trapped
Animal In Trap,11-03681187,"Aug 29, 2011",2011,8,2600 W 104TH ST,Raccoon - Backyard
Animal In Trap,11-03687020,"Aug 29, 2011",2011,8,8200 S VERNON AVE,Raccoon - Other  animals in garbage cart in alley
Animal In Trap,11-03718233,"Sep 03, 2011",2011,9,1400 W HOLLYWOOD AVE,RACCOON LOCKED IN A DUMPSTER-CYNDEBLOCK IS ON TOP OF DUMPSTERS - Raccoon
Animal In Trap,11-03718691,"Sep 03, 2011",2011,9,9200 S WESTERN AVE,Raccoon - Other  inside  buisness  this is for  evergreen kia  dealer
Animal In Trap,11-03741695,"Sep 07, 2011",2011,9,7100 S BLACKSTONE AVE,3 OR MORE RaccoonS - Inside the House
Animal In Trap,11-03744902,"Sep 07, 2011",2011,9,1700 W 100TH PL,Raccoon - - Other IN THE FRONT YARD
Animal In Trap,11-03745032,"Sep 07, 2011",2011,9,1700 W 100TH PL,Raccoon - Other..FRONT OF THE HOUSE
Animal In Trap,11-03758324,"Sep 09, 2011",2011,9,12300 S PARNELL AVE,Raccoon - Backyard- ANIMAL IS TRAPPED INSIDE THE GARBAGE CART
Animal In Trap,11-03758500,"Sep 09, 2011",2011,9,300 S SEELEY AVE,Raccoon - Inside the House///// 3 raccoon opposum  plz help she is very sick
Animal In Trap,11-03758711,"Sep 09, 2011",2011,9,6700 S OGLESBY AVE,Raccoon - ANIMAL IS INSIDE A DUMPSTER LOCATED AT REAR OF ABOVE ADDRESS
Animal In Trap,11-03761671,"Sep 10, 2011",2011,9,5400 W THOMAS ST,Raccoon - Backyard
Animal In Trap,11-03762691,"Sep 11, 2011",2011,9,4900 S MICHIGAN AVE,Raccoon - Other-LOCATED INSIDE A DUMPSTER IN REAR
Animal In Trap,11-03763163,"Sep 11, 2011",2011,9,3000 W CULLERTON ST,Raccoon - OtherTHE ANIMAL IS TRAPPED IN A GARBAGE CART
Animal In Trap,11-03777728,"Sep 13, 2011",2011,9,5500 W FULLERTON AVE,Raccoon w/10 babies in plastic garbage cart in stadium---hanson stadium
Animal In Trap,11-03784582,"Sep 14, 2011",2011,9,8700 S HERMITAGE AVE,Raccoon - Backyard
Animal In Trap,11-03786319,"Sep 14, 2011",2011,9,8700 S HERMITAGE AVE,Raccoon - Backyard
Animal In Trap,11-03800795,"Sep 16, 2011",2011,9,0 E 99TH PL,"Opossum - Inside the House

note:caller reports that there are large raccoons and opposums in the garage/garage is attatched to the house"
Animal In Trap,11-03820365,"Sep 21, 2011",2011,9,5500 W WARWICK AVE,Raccoon - Side of House
Animal In Trap,11-03838570,"Sep 23, 2011",2011,9,3700 S PAULINA ST,Raccoon - Backyard  caller does have a permit.
Animal In Trap,11-03841958,"Sep 24, 2011",2011,9,4900 S MICHIGAN AVE,"Raccoon - Other, TRAPPED INSIDE GARBAGE CART INSIDE THE  GATE,  CALL OR RING DOOR BELL"
Animal In Trap,11-03842240,"Sep 24, 2011",2011,9,1900 W 33RD ST,Raccoon - Backyard
Animal In Trap,11-03848197,"Sep 26, 2011",2011,9,9200 S CLAREMONT AVE,Raccoon - Other-LOCKED INSIDE GARBAGE CART IN ALLEY-BEHIND GARAGE
Animal In Trap,11-03856149,"Sep 27, 2011",2011,9,500 E 44TH ST,3 RACCOONS INSIDE GARBAGE CART-
Animal In Trap,11-03867002,"Sep 28, 2011",2011,9,2200 W ADAMS ST,Raccoon or Opossum - Other - Trap dumped in the curblane animal trying to lift top of cage - per cllr no one knows who placed it there
Animal In Trap,11-03883633,"Oct 01, 2011",2011,10,7800 S INGLESIDE AVE,Raccoon - Other--INSIDE THE GARBAGE CARTS
Animal In Trap,11-03885118,"Oct 02, 2011",2011,10,10800 S CAMPBELL AVE,Raccoon - Backyard - yes there will be at home to give the trap to the trap officer
Animal In Trap,11-03889306,"Oct 03, 2011",2011,10,8000 S ARTESIAN AVE,Raccoon - Other - trapped inside a closed garbage cart - alley
Animal In Trap,11-03906306,"Oct 05, 2011",2011,10,12700 S MUSKEGON AVE,"Caller states that raccoon is in garbage cart, please check into this matter - Raccoon - Other"
Animal In Trap,11-03909488,"Oct 06, 2011",2011,10,10400 S WOOD ST,Raccoon
Animal In Trap,11-03918096,"Oct 07, 2011",2011,10,7400 S MARYLAND AVE,Raccoon - Other     trapped inside the cart in the alley
Animal In Trap,11-03924398,"Oct 10, 2011",2011,10,400 W TREMONT ST,Raccoon - Inside the House - Pls call fro entry
Animal In Trap,11-03937314,"Oct 12, 2011",2011,10,9300 S CLYDE AVE,Raccoon - Other--INSIDE GARBAGE CART
Animal In Trap,11-03950054,"Oct 14, 2011",2011,10,7700 S UNION AVE,Raccoon - Bathroom
Animal In Trap,11-03986508,"Oct 20, 2011",2011,10,12700 S MUSKEGON AVE,Raccoon - Other - trapped in city black vinyl cart... in the alley
Animal In Trap,11-03995045,"Oct 21, 2011",2011,10,3300 N OTTAWA AVE,Raccoon - Backyard
Animal In Trap,11-04033599,"Oct 28, 2011",2011,10,3000 N CLYBOURN AVE,Raccoon - Backyard
Animal In Trap,11-04069892,"Nov 04, 2011",2011,11,3000 W 31ST ST,Raccoon - Other - Other
Animal In Trap,11-04115275,"Nov 14, 2011",2011,11,11700 S HALE AVE,Raccoon - Inside the House
Animal In Trap,11-04117781,"Nov 14, 2011",2011,11,11700 S HALE AVE,Raccoon - Inside the House Caller is a senior and has been waiting for a.c.c. all day. Please pick up asap!
Animal In Trap,11-04132015,"Nov 16, 2011",2011,11,400 E 87TH PL,Raccoon - Inside the House-85 year old senior with hypertension is extremely afraid.
Animal In Trap,11-04144203,"Nov 18, 2011",2011,11,1700 E 83RD ST,5 raccoons in attic - Raccoon - Inside the House
Animal In Trap,11-04144219,"Nov 18, 2011",2011,11,1700 E 83RD ST,5 raccoons in attic - Raccoon - Inside the House
Animal In Trap,11-04146542,"Nov 19, 2011",2011,11,11200 S LONGWOOD DR,Raccoon - Backyard - trapped in a city garbage cart... it cant get out .. has been in there for two days
Animal In Trap,11-04153980,"Nov 21, 2011",2011,11,2300 S LAWNDALE AVE,Raccoon - Side of House / 3 SMALL ANIMALS IN CAGE IN FRONT GANGWAY OF THIS ADDRESS - DUMPED AT ADDRESS - CALLER HAS NO IDEA HOW LONG ANIMALS HAVE BEEN THERE
Animal In Trap,11-04328052,"Dec 31, 2011",2011,12,600 E BOWEN AVE,Raccoon - Inside the House- CALLER WANTS A CALL ON ET TIME
Animal In Trap,11-04328115,"Dec 31, 2011",2011,12,600 E BOWEN AVE,Raccoon - Backyard
Animal In Trap,12-00104376,"Jan 24, 2012",2012,1,10300 S WOOD ST,Raccoon - Side of House pls call
Animal In Trap,12-00134330,"Jan 31, 2012",2012,1,11700 S BELL AVE,"Raccoon - Other - RACCOON IN  A CAGE, ON THE ROOF OF GARAGE FOR 3 DAYS, BUILDING IS OCCUPIED.  CALLER UNSURE IF FAMILY IS AWARE THAT THEY CAUGHT THE RACCOON."
Animal In Trap,12-00185532,"Feb 10, 2012",2012,2,9600 S HARVARD AVE,"Raccoon - Inside the House

Constituent is a Senior who lives along and has racoons are coming through the attic and are in the walls. Needs for Animal Control to contact her."
Animal In Trap,12-00639185,"Mar 20, 2012",2012,3,11200 S KEDZIE AVE,Raccoon - Backyard
Animal In Trap,12-00666038,"Mar 25, 2012",2012,3,2500 W 110TH PL,Raccoon - Backyard
Animal In Trap,12-00700296,"Apr 01, 2012",2012,4,7100 S MORGAN ST,THE TRAP IS IN THE BACK YARD BY THE STEPS AND HE WOULD LIKE ANOTHER TRAP TO TRY AND CATCH THE RACCOON - Opossum - Backyard     THEY WILL TRY TO HAVE SOMEONE THERE
Animal In Trap,12-00718486,"Apr 04, 2012",2012,4,2500 W 82ND ST,Raccoon - Other
Animal In Trap,12-00731025,"Apr 07, 2012",2012,4,8100 S PAULINA ST,Raccoon - Backyard
Animal In Trap,12-00731312,"Apr 07, 2012",2012,4,1800 N KEYSTONE AVE,Raccoon - Backyard
Animal In Trap,12-00750593,"Apr 12, 2012",2012,4,9800 S THROOP ST,Raccoon - Backyard
Animal In Trap,12-00750606,"Apr 12, 2012",2012,4,9800 S THROOP ST,Raccoon - Inside the House
Animal In Trap,12-00758723,"Apr 13, 2012",2012,4,8300 S VERNON AVE,Raccoon - Backyard
Animal In Trap,12-00765360,"Apr 16, 2012",2012,4,11500 S CHURCH ST,Raccoon - Backyard
Animal In Trap,12-00793498,"Apr 20, 2012",2012,4,500 W 116TH ST,Raccoon - Backyard
Animal In Trap,12-00825377,"Apr 26, 2012",2012,4,3500 W AINSLIE ST,Raccoon - Backyard
Animal In Trap,12-00826925,"Apr 27, 2012",2012,4,1700 W GRANVILLE AVE,Raccoon - Side of House
Animal In Trap,12-00895067,"May 09, 2012",2012,5,8000 S WHIPPLE ST,Raccoon - Other awning of roof of a house caught its neck
Animal In Trap,12-00908732,"May 12, 2012",2012,5,6600 S WABASH AVE,Raccoon - Other. CALLER SAID THAT HE HAS TRAP IN THE GARAGE
Animal In Trap,12-00909697,"May 13, 2012",2012,5,0 W 113TH ST,Raccoon - Porch-please call to access overhead porch and trap.  make contact with caller.
Animal In Trap,12-00944500,"May 19, 2012",2012,5,7900 S MOZART ST,Raccoon - Inside the House - Backyard
Animal In Trap,12-00978398,"May 25, 2012",2012,5,2000 W 110TH PL,Raccoon - Backyard
Animal In Trap,12-00984996,"May 27, 2012",2012,5,12300 S EMERALD AVE,Raccoon - Inside the House
Animal In Trap,12-00992699,"May 29, 2012",2012,5,300 S SEELEY AVE,wild animals intrude inside of the apartment - Raccoon - Inside the House; per previous complaint sr# 120857621.
Animal In Trap,12-01007926,"May 31, 2012",2012,5,5400 N NEWCASTLE AVE,Raccoon - Backyard
Animal In Trap,12-01012000,"Jun 01, 2012",2012,6,10300 S HOYNE AVE,Raccoon
Animal In Trap,12-01017262,"Jun 03, 2012",2012,6,11200 S LONGWOOD DR,Raccoon - Backyard INSIDE A GARBAGE CART- ALIVE
Animal In Trap,12-01019539,"Jun 04, 2012",2012,6,10900 S GREEN BAY AVE,Raccoon - Other
Animal In Trap,12-01029135,"Jun 05, 2012",2012,6,5800 N MILTIMORE AVE,Raccoon - Other   raccoon trapped inside a black garbage cart in the alley
Animal In Trap,12-01029970,"Jun 05, 2012",2012,6,5800 N MILTIMORE AVE,Raccoon - Other  -  ANIMAL IN GARBAGE CART SINCE SUNDAY - STILL ALIVE
Animal In Trap,12-01034377,"Jun 06, 2012",2012,6,3000 W LAWRENCE AVE,Raccoon - Other / ON PARKING LOT TO RICHARDS BODY SHOP
Animal In Trap,12-01084190,"Jun 15, 2012",2012,6,9700 S VANDERPOEL AVE,Raccoon - Backyard
Animal In Trap,12-01115441,"Jun 20, 2012",2012,6,9300 S PRAIRIE AVE,Raccoon - Backyard
Animal In Trap,12-01117269,"Jun 20, 2012",2012,6,6100 S WASHTENAW AVE,Raccoon - Inside the House
Animal In Trap,12-01120127,"Jun 21, 2012",2012,6,8300 S ASHLAND AVE,Raccoon--INSIDE DUMPSTER THAT BELONGS TO THE POST OFFICE
Animal In Trap,12-01168674,"Jun 29, 2012",2012,6,12400 S NORMAL AVE,Raccoon - Backyard
Animal In Trap,12-01173390,"Jun 29, 2012",2012,6,1900 W 87TH ST,Raccoon - Backyard / daycare center with dumpster in backyard - raccoon trapped inside dumpster and can not get out / daycare center closes at 6pm and no weekend hrs
Animal In Trap,12-01175720,"Jun 30, 2012",2012,6,6200 S MASSASOIT AVE,Raccoon - Backyard
Animal In Trap,12-01180565,"Jul 02, 2012",2012,7,6800 N WILDWOOD AVE,Raccoon - Backyard
